item(led,s0,msg(autoStartSysMsg,dispatch,led,led,start,5)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),111)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),112)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),114)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),115)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),117)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),118)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),120)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),121)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),123)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),124)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),126)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),127)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),129)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),130)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),132)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),133)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),135)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),136)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),138)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),139)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),141)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),142)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),144)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),145)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),147)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),148)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),150)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),151)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),153)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),154)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),156)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),157)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),159)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),160)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),162)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),163)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),165)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),166)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),168)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),169)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),171)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),172)).
