item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),120)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),122)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),123)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),125)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),126)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),128)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),129)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),131)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),132)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),134)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),135)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),137)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),138)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),140)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),141)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),143)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),144)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),146)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),147)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),149)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),150)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),152)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),153)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),155)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),156)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),158)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),159)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),161)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),162)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),164)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),165)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),167)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),168)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),170)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),171)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),173)).
